rdt_id,cause_group,rdt_lines,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,long_disruption
62693,rolling stock,'s-Hertogenbosch - Nijmegen,9,Tuesday,10,0,4,1.0,0
62694,logistical,Antwerpen-Centraal - Roosendaal,10,Tuesday,10,0,2,1.0,0
62695,infrastructure,Maastricht - Sittard,11,Tuesday,10,0,5,1.0,1
62697,external,'s-Hertogenbosch - Nijmegen,14,Tuesday,10,0,5,1.0,0
62699,external,Eindhoven - Tilburg,15,Tuesday,10,0,3,1.0,1
62700,rolling stock,Roosendaal - Vlissingen,15,Tuesday,10,0,11,1.0,0
62701,rolling stock,Enkhuizen - Hoorn,17,Tuesday,10,0,6,1.0,0
62703,unknown,'s-Hertogenbosch - Nijmegen,9,Wednesday,10,0,6,1.0,0
62704,rolling stock,Amersfoort - Zwolle,9,Wednesday,10,0,2,1.0,1
62705,rolling stock,"Liège-Guillemins - Maastricht, Maastricht - Maastricht Randwyck",11,Wednesday,10,0,2,2.0,1
62706,unknown,Schiphol Airport - Utrecht Centraal,12,Wednesday,10,0,5,1.0,0
62707,external,Deventer - Zutphen,12,Wednesday,10,0,2,1.0,0
62709,rolling stock,Leeuwarden - Zwolle,15,Wednesday,10,0,8,1.0,0
62710,rolling stock,'s-Hertogenbosch - Eindhoven,17,Wednesday,10,0,3,1.0,1
62711,rolling stock,'s-Hertogenbosch - Tilburg,17,Wednesday,10,0,2,1.0,1
62712,rolling stock,Amsterdam Centraal - Utrecht Centraal,17,Wednesday,10,0,11,1.0,0
62713,rolling stock,'s-Hertogenbosch - Utrecht Centraal,18,Wednesday,10,0,9,1.0,1
62714,rolling stock,'s-Hertogenbosch - Nijmegen,18,Wednesday,10,0,5,1.0,0
62715,external,Den Haag HS - Rotterdam Centraal,22,Wednesday,10,0,4,1.0,0
62716,external,Den Haag HS - Rotterdam Centraal,23,Wednesday,10,0,4,1.0,1
62717,accidents,Groningen - Zwolle,5,Thursday,10,0,4,1.0,1
62718,rolling stock,Heerlen - Maastricht,5,Thursday,10,0,10,1.0,1
62720,accidents,Groningen - Veendam,6,Thursday,10,0,7,1.0,0
62721,rolling stock,Amersfoort - Zwolle,6,Thursday,10,0,10,1.0,1
62722,rolling stock,'s-Hertogenbosch - Nijmegen,7,Thursday,10,0,5,1.0,0
62723,rolling stock,Rotterdam Centraal - Schiphol Airport (HSL),7,Thursday,10,0,2,1.0,0
62724,rolling stock,Heerlen - Maastricht,7,Thursday,10,0,10,1.0,1
62725,infrastructure,'s-Hertogenbosch - Eindhoven,8,Thursday,10,0,3,1.0,0
62726,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",9,Thursday,10,0,5,3.0,0
62728,external,"Amersfoort - Amsterdam Centraal, Amersfoort - Apeldoorn, Amersfoort - Ede-Wageningen, Amersfoort - Schiphol Airport, Amersfoort - Utrecht Centraal, Amersfoort - Zwolle",13,Thursday,10,0,3,6.0,0
62731,weather,Roosendaal - Vlissingen,14,Thursday,10,0,11,1.0,1
62732,rolling stock,Eindhoven - Roermond,15,Thursday,10,0,5,1.0,0
62733,logistical,"Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Hengelo - Oldenzaal",15,Thursday,10,0,4,3.0,1
62734,rolling stock,Eindhoven - Roermond,16,Thursday,10,0,5,1.0,0
62735,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",16,Thursday,10,0,5,3.0,0
62736,weather,Breda - Rotterdam Centraal (HSL),16,Thursday,10,0,2,1.0,1
62737,weather,"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal",16,Thursday,10,0,3,4.0,1
62738,external,Arnhem Centraal - Tiel,17,Thursday,10,0,2,1.0,1
62740,weather,Lelystad Centrum - Schiphol Airport,17,Thursday,10,0,13,1.0,1
62741,unknown,Eindhoven - Roermond,19,Thursday,10,0,5,1.0,0
62742,infrastructure,Emmen - Zwolle,21,Thursday,10,0,3,1.0,0
62743,rolling stock,'s-Hertogenbosch - Nijmegen,21,Thursday,10,0,6,1.0,0
62744,infrastructure,Breda - Roosendaal,21,Thursday,10,0,3,1.0,1
62745,rolling stock,Nijmegen - Venlo,21,Thursday,10,0,3,1.0,0
62746,infrastructure,Haarlem - Uitgeest,5,Friday,10,0,3,1.0,1
62747,rolling stock,Eindhoven - Roermond,8,Friday,10,0,2,1.0,0
62748,rolling stock,Amersfoort - Utrecht Centraal,9,Friday,10,0,5,1.0,0
62751,rolling stock,Amersfoort - Utrecht Centraal,10,Friday,10,0,5,1.0,1
62752,rolling stock,Amersfoort - Zwolle,10,Friday,10,0,2,1.0,0
62753,infrastructure,Apeldoorn - Zutphen,10,Friday,10,0,5,1.0,0
62754,rolling stock,Arnhem Centraal - Nijmegen,10,Friday,10,0,3,1.0,0
62755,infrastructure,Arnhem Centraal - Zutphen,10,Friday,10,0,3,1.0,0
62756,infrastructure,Arnhem Centraal - Zutphen,11,Friday,10,0,3,1.0,1
62757,rolling stock,Amersfoort - Zwolle,11,Friday,10,0,2,1.0,0
62758,infrastructure,Apeldoorn - Zutphen,12,Friday,10,0,3,1.0,1
62759,infrastructure,Apeldoorn - Zutphen,13,Friday,10,0,3,1.0,1
62760,infrastructure,Arnhem Centraal - Zutphen,13,Friday,10,0,3,1.0,1
62762,external,Kampen - Zwolle,15,Friday,10,0,3,1.0,0
62763,rolling stock,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport",18,Friday,10,0,5,3.0,0
62765,accidents,Harlingen Haven - Leeuwarden,20,Friday,10,0,4,1.0,1
62767,rolling stock,Heerlen - Maastricht,0,Saturday,10,1,10,1.0,1
62768,external,Breda - Rotterdam Centraal (HSL),2,Saturday,10,1,2,1.0,0
62769,rolling stock,"'s-Hertogenbosch - Eindhoven, Eindhoven - Tilburg",6,Saturday,10,1,4,2.0,1
62771,rolling stock,"Alkmaar - Amsterdam Centraal, Amsterdam Centraal - Haarlem, Amsterdam Centraal - Hoorn, Amsterdam Centraal - Schiphol Airport",10,Saturday,10,1,2,4.0,0
62772,rolling stock,'s-Hertogenbosch - Nijmegen,12,Saturday,10,1,3,1.0,1
